theta_num,theta_den,theta,r_num,r_den,r,P_re,P_im,focal_re,focal_im,seed_re,seed_im,precision,cardinality,iterations,magnitude
1,14,0.071428571428571428571428,1,100,0.010000000000000000000000,0.004489257094465627292917,0.002149872908526089857160,0.004504844339512095631180,0.002169418695587790602335,0.004504844339512095631180,0.002169418695587790602378,24,1,35001,0
1,14,0.071428571428571428571428,2,100,0.020000000000000000000000,0.008947339698838317909309,0.004260654242928778223886,0.009009688679024191262362,0.004338837391175581204728,0.009009688679024191262362,0.004338837391175581204757,24,1,35001,0
1,14,0.071428571428571428571428,3,100,0.030000000000000000000000,0.013374247813118071849173,0.006332344003208065100176,0.013514533018536286893541,0.006508256086763371807122,0.013514533018536286893541,0.006508256086763371807135,24,1,35001,0
1,14,0.071428571428571428571428,4,100,0.040000000000000000000000,0.017769981437304889112512,0.008364942189363950486031,0.018019377358048382524722,0.008677674782351162409501,0.018019377358048382524722,0.008677674782351162409514,24,1,35001,0
1,14,0.071428571428571428571428,5,100,0.050000000000000000000000,0.022134540571398769699324,0.010358448801396434381451,0.022524221697560478155902,0.010847093477938953011885,0.022524221697560478155902,0.010847093477938953011894,24,1,35001,0
1,14,0.071428571428571428571428,6,100,0.060000000000000000000000,0.026467925215399713609611,0.012312863839305516786434,0.027029066037072573787084,0.013016512173526743614263,0.027029066037072573787084,0.013016512173526743614272,24,1,35001,0
1,14,0.071428571428571428571428,7,100,0.070000000000000000000000,0.030770135369307720843370,0.014228187303091197700983,0.031533910376584669418263,0.015185930869114534216645,0.031533910376584669418263,0.015185930869114534216651,24,1,35001,0
1,14,0.071428571428571428571428,8,100,0.080000000000000000000000,0.035041171033122791400604,0.016104419192753477125096,0.036038754716096765049444,0.017355349564702324819023,0.036038754716096765049444,0.017355349564702324819029,24,1,35001,0
1,14,0.071428571428571428571428,9,100,0.090000000000000000000000,0.039281032206844925281311,0.017941559508292355058774,0.040543599055608860680624,0.019524768260290115421404,0.040543599055608860680624,0.019524768260290115421409,24,1,35001,0
1,14,0.071428571428571428571428,10,100,0.100000000000000000000000,0.043489718890474122485493,0.019739608249707831502016,0.045048443395120956311806,0.021694186955877906023782,0.045048443395120956311806,0.021694186955877906023787,24,1,35001,0
1,14,0.071428571428571428571428,11,100,0.110000000000000000000000,0.047667231084010383013147,0.021498565416999906454823,0.049553287734633051942985,0.023863605651465696626163,0.049553287734633051942985,0.023863605651465696626166,24,1,35001,0
1,14,0.071428571428571428571428,12,100,0.120000000000000000000000,0.051813568787453706864276,0.023218431010168579917194,0.054058132074145147574166,0.026033024347053487228541,0.054058132074145147574166,0.026033024347053487228544,24,1,35001,0
1,14,0.071428571428571428571428,13,100,0.130000000000000000000000,0.055928732000804094038878,0.024899205029213851889130,0.058562976413657243205347,0.028202443042641277830917,0.058562976413657243205346,0.028202443042641277830923,24,1,35001,0
1,14,0.071428571428571428571428,14,100,0.140000000000000000000000,0.060012720724061544536955,0.026540887474135722370631,0.063067820753169338836528,0.030371861738229068433299,0.063067820753169338836528,0.030371861738229068433302,24,1,35001,0
1,14,0.071428571428571428571428,15,100,0.150000000000000000000000,0.064065534957226058358504,0.028143478344934191361697,0.067572665092681434467707,0.032541280433816859035679,0.067572665092681434467707,0.032541280433816859035682,24,1,35001,0
1,14,0.071428571428571428571428,16,100,0.160000000000000000000000,0.068087174700297635503528,0.029706977641609258862326,0.072077509432193530098888,0.034710699129404649638058,0.072077509432193530098888,0.034710699129404649638060,24,1,35001,0
1,14,0.071428571428571428571428,17,100,0.170000000000000000000000,0.072077639953276275972025,0.031231385364160924872520,0.076582353771705625730069,0.036880117824992440240434,0.076582353771705625730068,0.036880117824992440240438,24,1,35001,0
1,14,0.071428571428571428571428,18,100,0.180000000000000000000000,0.076036930716161979763997,0.032716701512589189392279,0.081087198111217721361250,0.039049536520580230842813,0.081087198111217721361250,0.039049536520580230842817,24,1,35001,0
1,14,0.071428571428571428571428,19,100,0.190000000000000000000000,0.079965046988954746879441,0.034162926086894052421603,0.085592042450729816992430,0.041218955216168021445192,0.085592042450729816992429,0.041218955216168021445196,24,1,35001,0
1,14,0.071428571428571428571428,20,100,0.200000000000000000000000,0.083861988771654577318360,0.035570059087075513960491,0.090096886790241912623611,0.043388373911755812047571,0.090096886790241912623610,0.043388373911755812047575,24,1,35001,0
1,14,0.071428571428571428571428,21,100,0.210000000000000000000000,0.087727756064261471080752,0.036938100513133574008943,0.094601731129754008254791,0.045557792607343602649951,0.094601731129754008254790,0.045557792607343602649953,24,1,35001,0
1,14,0.071428571428571428571428,22,100,0.220000000000000000000000,0.091562348866775428166619,0.038267050365068232566961,0.099106575469266103885972,0.047727211302931393252329,0.099106575469266103885972,0.047727211302931393252333,24,1,35001,0
1,14,0.071428571428571428571428,23,100,0.230000000000000000000000,0.095365767179196448575958,0.039556908642879489634543,0.103611419808778199517152,0.049896629998519183854709,0.103611419808778199517151,0.049896629998519183854712,24,1,35001,0
1,14,0.071428571428571428571428,24,100,0.240000000000000000000000,0.099138011001524532308772,0.040807675346567345211689,0.108116264148290295148333,0.052066048694106974457087,0.108116264148290295148332,0.052066048694106974457090,24,1,35001,0
1,14,0.071428571428571428571428,25,100,0.250000000000000000000000,0.102879080333759679365059,0.042019350476131799298400,0.112621108487802390779513,0.054235467389694765059467,0.112621108487802390779512,0.054235467389694765059469,24,1,35001,0
1,14,0.071428571428571428571428,26,100,0.260000000000000000000000,0.106588975175901889744821,0.043191934031572851894675,0.117125952827314486410694,0.056404886085282555661845,0.117125952827314486410694,0.056404886085282555661847,24,1,35001,0
1,14,0.071428571428571428571428,27,100,0.270000000000000000000000,0.110267695527951163448055,0.044325426012890503000516,0.121630797166826582041874,0.058574304780870346264225,0.121630797166826582041873,0.058574304780870346264227,24,1,35001,0
1,14,0.071428571428571428571428,28,100,0.280000000000000000000000,0.113915241389907500474764,0.045419826420084752615920,0.126135641506338677673055,0.060743723476458136866603,0.126135641506338677673054,0.060743723476458136866605,24,1,35001,0
1,14,0.071428571428571428571428,29,100,0.290000000000000000000000,0.117531612761770900824946,0.046475135253155600740890,0.130640485845850773304235,0.062913142172045927468981,0.130640485845850773304234,0.062913142172045927468984,24,1,35001,0
1,14,0.071428571428571428571428,30,100,0.300000000000000000000000,0.121116809643541364498603,0.047491352512103047375424,0.135145330185362868935416,0.065082560867633718071361,0.135145330185362868935416,0.065082560867633718071363,24,1,35001,0
1,14,0.071428571428571428571428,31,100,0.310000000000000000000000,0.124670832035218891495732,0.048468478196927092519522,0.139650174524874964566596,0.067251979563221508673739,0.139650174524874964566596,0.067251979563221508673742,24,1,35001,0
