theta_num,theta_den,theta,r_num,r_den,r,P_re,P_im,focal_re,focal_im,seed_re,seed_im,precision,cardinality,iterations,magnitude
1,7,0.14285714285714285714285714285714,1,100,0.01000000000000000000000000000000,0.00312301203264257551273224698413,0.00388478421453560345336676934129,0.00311744900929366765262502442002,0.00390915741234014904354222263321,0.00311744900929366765262502442002,0.00390915741234014904354222263336,32,1,35001,0
1,7,0.14285714285714285714285714285714,2,100,0.02000000000000000000000000000000,0.00625715011198296674567893909648,0.00772082203346211572638263209844,0.00623489801858733530525004884003,0.00781831482468029808708444526659,0.00623489801858733530525004884003,0.00781831482468029808708444526674,32,1,35001,0
1,7,0.14285714285714285714285714285714,3,100,0.03000000000000000000000000000000,0.00940241423802117369884007633707,0.01150811345677953681904758827143,0.00935234702788100295787507326006,0.01172747223702044713062666790007,0.00935234702788100295787507326006,0.01172747223702044713062666790010,32,1,35001,0
1,7,0.14285714285714285714285714285714,4,100,0.04000000000000000000000000000000,0.01255880441075719637221565870587,0.01524665848448786673136163786028,0.01246979603717467061050009768007,0.01563662964936059617416889053342,0.01246979603717467061050009768007,0.01563662964936059617416889053348,32,1,35001,0
1,7,0.14285714285714285714285714285714,5,100,0.05000000000000000000000000000000,0.01572632063019103476580568620291,0.01893645711658710546332478086497,0.01558724504646833826312512210010,0.01954578706170074521771111316678,0.01558724504646833826312512210010,0.01954578706170074521771111316684,32,1,35001,0
1,7,0.14285714285714285714285714285714,6,100,0.06000000000000000000000000000000,0.01890496289632268887961015882816,0.02257750935307725301493701728552,0.01870469405576200591575014652011,0.02345494447404089426125333580019,0.01870469405576200591575014652011,0.02345494447404089426125333580021,32,1,35001,0
1,7,0.14285714285714285714285714285714,7,100,0.07000000000000000000000000000000,0.02209473120915215871362907658165,0.02616981519395830938619834712192,0.02182214306505567356837517094014,0.02736410188638104330479555843355,0.02182214306505567356837517094014,0.02736410188638104330479555843359,32,1,35001,0
1,7,0.14285714285714285714285714285714,8,100,0.08000000000000000000000000000000,0.02529562556867944426786243946336,0.02971337463923027457710877037416,0.02493959207434934122100019536017,0.03127325929872119234833778106692,0.02493959207434934122100019536017,0.03127325929872119234833778106695,32,1,35001,0
1,7,0.14285714285714285714285714285714,9,100,0.09000000000000000000000000000000,0.02850764597490454554231024747329,0.03320818768889314858766828704226,0.02805704108364300887362521978019,0.03518241671106134139188000370028,0.02805704108364300887362521978018,0.03518241671106134139188000370032,32,1,35001,0
1,7,0.14285714285714285714285714285714,10,100,0.10000000000000000000000000000000,0.03173079242782746253697250061145,0.03665425434294693141787689712621,0.03117449009293667652625024420021,0.03909157412340149043542222633365,0.03117449009293667652625024420021,0.03909157412340149043542222633369,32,1,35001,0
1,7,0.14285714285714285714285714285714,11,100,0.11000000000000000000000000000000,0.03496506492744819525184919887783,0.04005157460139162306773460062601,0.03429193910223034417887526862023,0.04300073153574163947896444896705,0.03429193910223034417887526862023,0.04300073153574163947896444896707,32,1,35001,0
1,7,0.14285714285714285714285714285714,12,100,0.12000000000000000000000000000000,0.03821046347376674368694034227243,0.04340014846422722353724139754166,0.03740938811152401183150029304024,0.04690988894808178852250667160042,0.03740938811152401183150029304024,0.04690988894808178852250667160044,32,1,35001,0
1,7,0.14285714285714285714285714285714,13,100,0.13000000000000000000000000000000,0.04146698806678310784224593079526,0.04669997593145373282639728787316,0.04052683712081767948412531746026,0.05081904636042193756604889423379,0.04052683712081767948412531746026,0.05081904636042193756604889423381,32,1,35001,0
1,7,0.14285714285714285714285714285714,14,100,0.14000000000000000000000000000000,0.04473463870649728771776596444633,0.04995105700307115093520227162050,0.04364428613011134713675034188030,0.05472820377276208660959111686716,0.04364428613011134713675034188030,0.05472820377276208660959111686717,32,1,35001,0
1,7,0.14285714285714285714285714285714,15,100,0.15000000000000000000000000000000,0.04801341539290928331350044322561,0.05315339167907947786365634878370,0.04676173513940501478937536630032,0.05863736118510223565313333950053,0.04676173513940501478937536630032,0.05863736118510223565313333950054,32,1,35001,0
1,7,0.14285714285714285714285714285714,16,100,0.16000000000000000000000000000000,0.05130331812601909462944936713311,0.05630697995947871361175951936275,0.04987918414869868244200039072033,0.06254651859744238469667556213388,0.04987918414869868244200039072033,0.06254651859744238469667556213391,32,1,35001,0
1,7,0.14285714285714285714285714285714,17,100,0.17000000000000000000000000000000,0.05460434690582672166561273616884,0.05941182184426885817951178335765,0.05299663315799235009462541514035,0.06645567600978253374021778476725,0.05299663315799235009462541514035,0.06645567600978253374021778476728,32,1,35001,0
1,7,0.14285714285714285714285714285714,18,100,0.18000000000000000000000000000000,0.05791650173233216442199055033280,0.06246791733344991156691314076840,0.05611408216728601774725043956038,0.07036483342212268278376000740063,0.05611408216728601774725043956038,0.07036483342212268278376000740065,32,1,35001,0
1,7,0.14285714285714285714285714285714,19,100,0.19000000000000000000000000000000,0.06123978260553542289858280962498,0.06547526642702187377396359159501,0.05923153117657968539987546398040,0.07427399083446283182730223003400,0.05923153117657968539987546398040,0.07427399083446283182730223003403,32,1,35001,0
1,7,0.14285714285714285714285714285714,20,100,0.20000000000000000000000000000000,0.06457418952543649709538951404539,0.06843386912498474480066313583746,0.06234898018587335305250048840043,0.07818314824680298087084445266738,0.06234898018587335305250048840042,0.07818314824680298087084445266740,32,1,35001,0
1,7,0.14285714285714285714285714285714,21,100,0.21000000000000000000000000000000,0.06791972249203538701241066359402,0.07134372542733852464701177349576,0.06546642919516702070512551282045,0.08209230565914312991438667530075,0.06546642919516702070512551282044,0.08209230565914312991438667530077,32,1,35001,0
1,7,0.14285714285714285714285714285714,22,100,0.22000000000000000000000000000000,0.07127638150533209264964625827088,0.07420483533408321331300950456991,0.06858387820446068835775053724047,0.08600146307148327895792889793412,0.06858387820446068835775053724047,0.08600146307148327895792889793414,32,1,35001,0
1,7,0.14285714285714285714285714285714,23,100,0.23000000000000000000000000000000,0.07464416656532661400709629807596,0.07701719884521881079865632905991,0.07170132721375435601037556166050,0.08991062048382342800147112056748,0.07170132721375435601037556166049,0.08991062048382342800147112056750,32,1,35001,0
1,7,0.14285714285714285714285714285714,32,100,0.32000000000000000000000000000000,0.10545490420667901363379668709179,0.10013488264303008505368695318319,0.09975836829739736488400078144068,0.12509303719488476939335112426782,0.09975836829739736488400078144068,0.12509303719488476939335112426783,32,1,35001,0
1,7,0.14285714285714285714285714285714,25,100,0.25000000000000000000000000000000,0.08141311482540910388263971307079,0.08249568668066273222889725828746,0.07793622523234169131562561050053,0.09772893530850372608855556583422,0.07793622523234169131562561050053,0.09772893530850372608855556583424,32,1,35001,0
1,7,0.14285714285714285714285714285714,26,100,0.26000000000000000000000000000000,0.08481427802549707240073308826054,0.08516181100497105617349136302502,0.08105367424163535896825063492055,0.10163809272084387513209778846760,0.08105367424163535896825063492055,0.10163809272084387513209778846762,32,1,35001,0
1,7,0.14285714285714285714285714285714,27,100,0.27000000000000000000000000000000,0.08822656727228285663904090857853,0.08777918893367028893773456117842,0.08417112325092902662087565934058,0.10554725013318402417564001110097,0.08417112325092902662087565934058,0.10554725013318402417564001110098,32,1,35001,0
1,7,0.14285714285714285714285714285714,28,100,0.28000000000000000000000000000000,0.09164998256576645659756317402473,0.09034782046676043052162685274767,0.08728857226022269427350068376060,0.10945640754552417321918223373434,0.08728857226022269427350068376060,0.10945640754552417321918223373435,32,1,35001,0
1,7,0.14285714285714285714285714285714,29,100,0.29000000000000000000000000000000,0.09508452390594787227629988459916,0.09286770560424148092516823773278,0.09040602126951636192612570818062,0.11336556495786432226272445636771,0.09040602126951636192612570818062,0.11336556495786432226272445636773,32,1,35001,0
1,7,0.14285714285714285714285714285714,30,100,0.30000000000000000000000000000000,0.09853019129282710367525104030181,0.09533884434611344014835871613373,0.09352347027881002957875073260064,0.11727472237020447130626667900108,0.09352347027881002957875073260064,0.11727472237020447130626667900109,32,1,35001,0
1,7,0.14285714285714285714285714285714,31,100,0.31000000000000000000000000000000,0.10198698472640415079441664113269,0.09776123669237630819119828795054,0.09664091928810369723137575702066,0.12118387978254462034980890163445,0.09664091928810369723137575702066,0.12118387978254462034980890163447,32,1,35001,0
1,7,0.14285714285714285714285714285714,32,100,0.32000000000000000000000000000000,0.10545490420667901363379668709179,0.10013488264303008505368695318319,0.09975836829739736488400078144068,0.12509303719488476939335112426782,0.09975836829739736488400078144068,0.12509303719488476939335112426783,32,1,35001,0
1,7,0.14285714285714285714285714285714,33,100,0.33000000000000000000000000000000,0.10893394973365169219339117817912,0.10245978219807477073582471183170,0.10287581730669103253662580586070,0.12900219460722491843689334690119,0.10287581730669103253662580586070,0.12900219460722491843689334690121,32,1,35001,0
1,7,0.14285714285714285714285714285714,34,100,0.34000000000000000000000000000000,0.11242412130732218647320011439468,0.10473593535751036523761156389605,0.10599326631598470018925083028073,0.13291135201956506748043556953456,0.10599326631598470018925083028073,0.13291135201956506748043556953457,32,1,35001,0
1,7,0.14285714285714285714285714285714,35,100,0.35000000000000000000000000000000,0.11592541892769049647322349573846,0.10696334212133686855904750937626,0.10911071532527836784187585470075,0.13682050943190521652397779216794,0.10911071532527836784187585470075,0.13682050943190521652397779216795,32,1,35001,0
1,7,0.14285714285714285714285714285714,36,100,0.36000000000000000000000000000000,0.11943784259475662219346132221046,0.10914200248955428070013254827231,0.11222816433457203549450087912077,0.14072966684424536556752001480130,0.11222816433457203549450087912077,0.14072966684424536556752001480131,32,1,35001,0
1,7,0.14285714285714285714285714285714,37,100,0.37000000000000000000000000000000,0.12296139230852056363391359381069,0.11127191646216260166086668058422,0.11534561334386570314712590354080,0.14463882425658551461106223743467,0.11534561334386570314712590354079,0.14463882425658551461106223743469,32,1,35001,0
1,7,0.14285714285714285714285714285714,38,100,0.38000000000000000000000000000000,0.12649606806898232079458031053914,0.11335308403916183144124990631197,0.11846306235315937079975092796082,0.14854798166892566365460446006803,0.11846306235315937079975092796081,0.14854798166892566365460446006805,32,1,35001,0
1,7,0.14285714285714285714285714285714,39,100,0.39000000000000000000000000000000,0.13004186987614189367546147239582,0.11538550522055197004128222545558,0.12158051136245303845237595238084,0.15245713908126581269814668270141,0.12158051136245303845237595238084,0.15245713908126581269814668270142,32,1,35001,0
1,7,0.14285714285714285714285714285714,40,100,0.40000000000000000000000000000000,0.13359879772999928227655707938073,0.11736918000633301746096363801504,0.12469796037174670610500097680087,0.15636629649360596174168890533479,0.12469796037174670610500097680087,0.15636629649360596174168890533480,32,1,35001,0
1,7,0.14285714285714285714285714285714,41,100,0.41000000000000000000000000000000,0.13716685163055448659786713149385,0.11930410839650497370029414399034,0.12781540938104037375762600122089,0.16027545390594611078523112796815,0.12781540938104037375762600122088,0.16027545390594611078523112796816,32,1,35001,0
1,7,0.14285714285714285714285714285714,42,100,0.42000000000000000000000000000000,0.14074603157780750663939162873520,0.12119029039106783875927374338150,0.13093285839033404141025102564090,0.16418461131828625982877335060152,0.13093285839033404141025102564090,0.16418461131828625982877335060153,32,1,35001,0
1,7,0.14285714285714285714285714285714,43,100,0.43000000000000000000000000000000,0.14433633757175834240113057110478,0.12302772599002161263790243618851,0.13405030739962770906287605006093,0.16809376873062640887231557323489,0.13405030739962770906287605006093,0.16809376873062640887231557323490,32,1,35001,0
1,7,0.14285714285714285714285714285714,44,100,0.44000000000000000000000000000000,0.14793776961240699388308395860258,0.12481641519336629533618022241137,0.13716775640892137671550107448095,0.17200292614296655791585779586826,0.13716775640892137671550107448094,0.17200292614296655791585779586828,32,1,35001,0
1,7,0.14285714285714285714285714285714,45,100,0.45000000000000000000000000000000,0.15155032769975346108525179122861,0.12655635800110188685410710205008,0.14028520541821504436812609890097,0.17591208355530670695940001850164,0.14028520541821504436812609890097,0.17591208355530670695940001850165,32,1,35001,0
1,7,0.14285714285714285714285714285714,46,100,0.46000000000000000000000000000000,0.15517401183379774400763406898286,0.12824755441322838719168307510464,0.14340265442750871202075112332099,0.17982124096764685600294224113501,0.14340265442750871202075112332099,0.17982124096764685600294224113502,32,1,35001,0
1,7,0.14285714285714285714285714285714,47,100,0.47000000000000000000000000000000,0.15880882201453984265023079186534,0.12989000442974579634890814157504,0.14652010343680237967337614774102,0.18373039837998700504648446376837,0.14652010343680237967337614774102,0.18373039837998700504648446376838,32,1,35001,0
1,7,0.14285714285714285714285714285714,48,100,0.48000000000000000000000000000000,0.16245475824197975701304195987604,0.13148370805065411432578230146130,0.14963755244609604732600117216104,0.18763955579232715409002668640174,0.14963755244609604732600117216104,0.18763955579232715409002668640175,32,1,35001,0
1,7,0.14285714285714285714285714285714,49,100,0.49000000000000000000000000000000,0.16611182051611748709606757301497,0.13302866527595334112230555476341,0.15275500145538971497862619658107,0.19154871320466730313356890903511,0.15275500145538971497862619658107,0.19154871320466730313356890903512,32,4,35008,2.23606797749978969640917366873127E-32
1,7,0.14285714285714285714285714285714,50,100,0.50000000000000000000000000000000,0.16978000883695303289930763128212,0.13452487610564347673847790148137,0.15587245046468338263125122100109,0.19545787061700745217711113166848,0.15587245046468338263125122100109,0.19545787061700745217711113166849,32,1,35001,0
1,7,0.14285714285714285714285714285714,51,100,0.51000000000000000000000000000000,0.17345932320448639442276213467749,0.13597234053972452117429934161518,0.15898989947397705028387624542111,0.19936702802934760122065335430185,0.15898989947397705028387624542110,0.19936702802934760122065335430186,32,1,35001,0
1,7,0.14285714285714285714285714285714,52,100,0.52000000000000000000000000000000,0.17714976361871757166643108320109,0.13737105857819647442976987516484,0.16210734848327071793650126984113,0.20327618544168775026419557693522,0.16210734848327071793650126984112,0.20327618544168775026419557693523,32,1,35001,0
1,7,0.14285714285714285714285714285714,53,100,0.53000000000000000000000000000000,0.18085133007964656463031447685291,0.13872103022105933650488950213036,0.16522479749256438558912629426114,0.20718534285402789930773779956859,0.16522479749256438558912629426113,0.20718534285402789930773779956861,32,1,35001,0
1,7,0.14285714285714285714285714285714,54,100,0.54000000000000000000000000000000,0.18456402258727337331441231563297,0.14002225546831310739965822251172,0.16834224650185805324175131868117,0.21109450026636804835128002220197,0.16834224650185805324175131868117,0.21109450026636804835128002220198,32,1,35001,0
1,7,0.14285714285714285714285714285714,55,100,0.55000000000000000000000000000000,0.18828784114159799771872459954125,0.14127473431995778711407603630893,0.17145969551115172089437634310120,0.21500365767870819739482224483534,0.17145969551115172089437634310119,0.21500365767870819739482224483535,32,1,35001,0
1,7,0.14285714285714285714285714285714,56,100,0.56000000000000000000000000000000,0.19202278574262043784325132857774,0.14247846677599337564814294352199,0.17457714452044538854700136752121,0.21891281509104834643836446746870,0.17457714452044538854700136752121,0.21891281509104834643836446746872,32,1,35001,0
1,7,0.14285714285714285714285714285714,57,100,0.57000000000000000000000000000000,0.19576885639034069368799250274247,0.14363345283641987300185894415090,0.17769459352973905619962639194124,0.22282197250338849548190669010208,0.17769459352973905619962639194124,0.22282197250338849548190669010209,32,1,35001,0
1,7,0.14285714285714285714285714285714,58,100,0.58000000000000000000000000000000,0.19952605308475876525294812203542,0.14473969250123727917522403819566,0.18081204253903272385225141636127,0.22673112991572864452544891273544,0.18081204253903272385225141636126,0.22673112991572864452544891273545,32,1,35001,0
1,7,0.14285714285714285714285714285714,59,100,0.59000000000000000000000000000000,0.20329437582587465253811818645659,0.14579718577044559416823822565628,0.18392949154832639150487644078127,0.23064028732806879356899113536882,0.18392949154832639150487644078127,0.23064028732806879356899113536883,32,1,35001,0
1,7,0.14285714285714285714285714285714,60,100,0.60000000000000000000000000000000,0.20707382461368835554350269600600,0.14680593264404481798090150653274,0.18704694055762005915750146520131,0.23454944474040894261253335800219,0.18704694055762005915750146520131,0.23454944474040894261253335800221,32,1,35001,0
1,7,0.14285714285714285714285714285714,61,100,0.61000000000000000000000000000000,0.21086439944819987426910165068362,0.14776593312203495061321388082505,0.19016438956691372681012648962133,0.23845860215274909165607558063556,0.19016438956691372681012648962132,0.23845860215274909165607558063557,32,1,35001,0
1,7,0.14285714285714285714285714285714,62,100,0.62000000000000000000000000000000,0.21466610032940920871491505048947,0.14867718720441599206517534853322,0.19328183857620739446275151404135,0.24236775956508924069961780326894,0.19328183857620739446275151404134,0.24236775956508924069961780326895,32,1,35001,0
1,7,0.14285714285714285714285714285714,63,100,0.63000000000000000000000000000000,0.21847892725731635888094289542354,0.14953969489118794233678590965723,0.19639928758550106211537653846137,0.24627691697742938974316002590230,0.19639928758550106211537653846137,0.24627691697742938974316002590231,32,1,35001,0
1,7,0.14285714285714285714285714285714,64,100,0.64000000000000000000000000000000,0.22230288023192132476718518548584,0.15035345618235080142804556419709,0.19951673659479472976800156288139,0.25018607438976953878670224853567,0.19951673659479472976800156288139,0.25018607438976953878670224853568,32,1,35001,0
1,7,0.14285714285714285714285714285714,65,100,0.65000000000000000000000000000000,0.22613795925322410637364192067636,0.15111847107790456933895431215281,0.20263418560408839742062658730141,0.25409523180210968783024447116904,0.20263418560408839742062658730140,0.25409523180210968783024447116905,32,1,35001,0
1,7,0.14285714285714285714285714285714,66,100,0.66000000000000000000000000000000,0.22998416432122470370031310099511,0.15183473957784924606951215352438,0.20575163461338206507325161172143,0.25800438921444983687378669380242,0.20575163461338206507325161172142,0.25800438921444983687378669380243,32,1,35001,0
1,7,0.14285714285714285714285714285714,67,100,0.67000000000000000000000000000000,0.23384149543592311674719872644209,0.15250226168218483161971908831179,0.20886908362267573272587663614146,0.26191354662678998591732891643579,0.20886908362267573272587663614145,0.26191354662678998591732891643580,32,1,35001,0
1,7,0.14285714285714285714285714285714,68,100,0.68000000000000000000000000000000,0.23770995259731934551429879701729,0.15312103739091132598957511651506,0.21198653263196940037850166056148,0.26582270403913013496087113906917,0.21198653263196940037850166056148,0.26582270403913013496087113906918,32,1,35001,0
1,7,0.14285714285714285714285714285714,69,100,0.69000000000000000000000000000000,0.24158953580541339000161331272071,0.15369106670402872917908023813417,0.21510398164126306803112668498151,0.26973186145147028400441336170253,0.21510398164126306803112668498150,0.26973186145147028400441336170254,32,1,35001,0
1,7,0.14285714285714285714285714285714,70,100,0.70000000000000000000000000000000,0.24548024506020525020914227355235,0.15421234962153704118823445316914,0.21822143065055673568375170940152,0.27364101886381043304795558433589,0.21822143065055673568375170940151,0.27364101886381043304795558433591,32,1,35001,0
